study	name	release_date
42	German Weimar Republic Data, 1919-1933	1984-06-20 00:00:00
43	German Reichstag Election Data, 1871-1912 	1984-06-20 00:00:00
44	Nazi Party Membership in Munich, Passau, Rosenheim, Landshut, and Mannheim, 1919-1922	1984-05-03 00:00:00
45	Dutch Election Data, 1888-1917  	1984-06-20 00:00:00
46	Brazilian Elites, 1960  	1984-05-03 00:00:00
47	Italian Election Data, 1963  	1984-06-20 00:00:00
48	Social, Demographic, and Educational Data for France, 1801-1897	1984-06-28 00:00:00
49	Analysis of Arrests in Paris, June 1848	1984-05-03 00:00:00
51	Disturbances in France, 1830-1860 and 1930-1960: Intensive Sample	1984-05-03 00:00:00
52	French Representation Study, 1946-1958	1984-05-03 00:00:00
54	Census of Population and Housing, 1960 Public Use Sample [United States]:  One-In-One Thousand Sample  	1984-06-28 00:00:00
55	Investors and Members of Parliament in England, 1575-1630  	1984-05-11 00:00:00
56	Urban Growth in America: Philadelphia, 1774-1930	1984-05-10 00:00:00
57	Social Structure of Argentina: Census Data on Economic Development, 1965	1984-05-11 00:00:00
58	Aggregate Data Bank and Indices of Brazil: 1940-1960	1984-06-28 00:00:00
59	Income Data for ZIP Code Areas, 1966	1984-05-11 00:00:00
60	Current Population Survey:  Voter Supplement File, 1972 	1984-06-19 00:00:00
61	County and City Data Book, 1972	1984-06-20 00:00:00
62	Michigan Election Returns, 1972: Precinct-Level	1984-06-19 00:00:00
64	English County Borough Data, 1951-1967  	1984-05-03 00:00:00
65	Public Policy and Socio-Economic Data for Large Cities in the United States, 1960	1984-05-03 00:00:00
66	Diffusion of Public Policy Innovation Among the American States	1984-05-03 00:00:00
67	Roll Call Voting Records for the Confederate Congresses, 1862-1865 	1984-05-03 00:00:00
69	Census of Governments, 1972:  Government Employment and Finance Files	1984-05-03 00:00:00
71	Southern Primary and General Election Data, 1920-1949	1984-06-19 00:00:00
72	Southern Primary and General Election Data, 1946-1972	1984-06-19 00:00:00
73	Southern Primary Candidate Name and Constituency Totals, 1920-1972 	1984-06-19 00:00:00
74	Michigan Election Returns, 1974:  Precinct-Level  	1984-06-19 00:00:00
75	State-Level Congressional, Gubernatorial and Senatorial Election Data for the United States, 1824-1972	1984-06-19 00:00:00
77	Office of Revenue Sharing: Fifth Count File, 1970	1984-06-28 00:00:00
78	Population and Income Estimates for the United States, 1969-1973	1984-06-28 00:00:00
79	United States Historical Election Returns, 1788-1823	1984-06-19 00:00:00
80	Political Violence in the United States, 1819-1968	1984-05-03 00:00:00
101	Annotated Bibliography of Papers Using the General Social Surveys [10th Edition], March 1995	1996-07-23 00:00:00
111	Bureau of Labor Statistics	1999-04-27 00:00:00
112	Consolidated Federal Funds Report (CFFR)	1999-04-27 00:00:00
113	County Business Patterns Web Site	1999-04-27 00:00:00
114	Current Population Survey Web Site	1999-04-27 00:00:00
115	Federal Election Commission (FEC) Web Site	1999-03-19 00:00:00
116	Integrated Public Use Microdata Series (IPUMS)	1999-03-18 00:00:00
117	Victoria Longitudinal Study	2006-06-08 00:00:00
118	Lijphart Elections Archive (LEA)	1999-03-18 00:00:00
119	National Network of State Polls (NNSP)  [WEBSITE]  	1999-03-17 00:00:00
120	Counting California	2003-01-07 00:00:00
121	Harlem Longitudinal Study of Urban Black Youth, 1968 United States	2002-09-17 00:00:00
122	National Congregations Study (NCS) United States	2002-09-17 00:00:00
123	Ameristat	2003-01-07 00:00:00
124	Fast Response Survey System (FRSS)	2003-01-03 00:00:00
125	Statistical Sites on the World Wide Web	2003-02-06 00:00:00
126	Odum Institute for Research in Social Science (IRSS)	2003-02-06 00:00:00
127	Statistics Canada Web Site	2003-03-07 00:00:00
128	CDC WONDER	2003-02-07 00:00:00
130	FedStats	2003-02-11 00:00:00
131	German Socio-Economic Panel (SOEP)	2003-02-11 00:00:00
132	CensusScope	2003-02-12 00:00:00
133	ARL Statistics, Interactive Edition	2003-02-13 00:00:00
134	National Longitudinal Mortality Study (NLMS)	2006-06-06 00:00:00
135	Statistical Resources on the Web	2003-02-18 00:00:00
136	Eagleton Poll Archive	2003-02-19 00:00:00
137	Energy Information Administration Home Page	2003-03-20 00:00:00
138	Human Mortality Database	2006-06-07 00:00:00
139	English Longitudinal Study of Ageing (ELSA)	2006-06-07 00:00:00
140	Behavioral Risk Factor Surveillance System (BRFSS)	2003-03-12 00:00:00
141	Aging Statistics	2003-03-13 00:00:00
142	Mexican Health and Aging Study (MHAS)	2006-06-07 00:00:00
143	State of the Cities Data Systems (SOCDS)	2003-06-11 00:00:00
144	Demographic and health Surveys STATcompiler	2003-06-11 00:00:00
145	Cross-National Equivalent File (CNEF), 1980-2003	2006-06-14 00:00:00
146	GenderStats	2003-07-08 00:00:00
147	Data on the Net	2003-07-04 00:00:00
148	Association of Religion Data Archives	2003-07-16 00:00:00
149	International Data Base (IDB)	2003-07-17 00:00:00
150	Luxembourg Income Study (LIS)	2006-12-06 00:00:00
151	National Compensation Survey Home Page	2003-07-18 00:00:00
152	National Archive of Criminal Justice Data (NACJD) Web Site	2003-08-11 00:00:00
153	National Archive of Computerized Data on Aging (NACDA) Web Site	2003-08-12 00:00:00
154	Substance Abuse and Mental Health Data Archive (SAMHDA) Web Site	2003-08-14 00:00:00
155	International Archive of Education Data (IAED) Web Site	2003-08-22 00:00:00
156	Nihon University Japanese Longitudinal Study of Aging (NUJLSOA)	2006-06-09 00:00:00
157	Health and Medical Care Archive Web Site	2003-09-17 00:00:00
158	Seattle Longitudinal Study (SLS)	2006-06-14 00:00:00
159	Data Warehouse on Trends in Health and Aging	2006-06-09 00:00:00
160	Survey of Health, Ageing, and Retirement in Europe (SHARE)	2006-06-12 00:00:00
163	Investigating Community and Social Capital	2006-09-21 00:00:00
164	Human Subject Protection and Disclosure Risk Analysis	2006-11-08 00:00:00
165	Exploring Data Through Research Literature (EDRL)	2006-11-29 00:00:00
166	TIGER/Line Files at ICPSR	2006-12-03 00:00:00
167	Roper Center for Public Opinion Research	2003-10-18 00:00:00
168	ICPSR Data Archiving Report: Data Releases	2007-03-05 00:00:00
169	ICPSR Data Archiving Report: Data Dissemination Activity	2007-03-05 00:00:00
170	Atlas of Historical County Boundaries Web Site	2007-01-06 00:00:00
171	National Survey of Families and Households (NSFH): Wave III, 2001-2002	2006-02-20 00:00:00
172	Los Angeles Family and Neighborhood Survey (LA FANS) 	2005-07-06 00:00:00
174	New Immigrant Survey	2005-07-27 00:00:00
175	Cape Area Panel Study (CAPS) South Africa	2005-07-27 00:00:00
176	China Health and Nutrition Survey (CHNS)	2005-07-29 00:00:00
177	Mexican Migration Project	2005-07-29 00:00:00
178	Cebu Longitudinal Health and Nutrition Survey	2005-08-01 00:00:00
179	Latin American Migration Project	2005-08-02 00:00:00
180	Fragile Families and Child Wellbeing Study  	2005-08-08 00:00:00
181	Russia Longitudinal Monitoring Survey (RLMS)	2005-08-02 00:00:00
182	National Longitudinal Survey of Youth (NLSY): Child Supplement	2005-08-11 00:00:00
183	National Longitudinal Study of Adolescent Health (Add Health) 	2005-08-08 00:00:00
184	Indonesia Family Life Surveys (IFLS)	2005-08-02 00:00:00
185	SETUPS: Voting Behavior: The 2004 Election	2005-11-09 00:00:00
188	Measuring Citizen and Government Ideology in the United States	1999-12-10 00:00:00
189	National Comorbidity Survey Replication (NCS-R), 2001-2003	2007-07-20 00:00:00
190	National Survey of American Life (NSAL), 2001-2003	2007-09-06 16:17:42
191	National Latino and Asian American Study (NLAAS), 2002-2003	2007-09-06 16:17:42
192	Terrorism and Preparedness Data Resource Center	2008-05-15 10:50:52
193	Digital Preservation at ICPSR	2008-05-15 10:53:45
195	Yearbook of Immigration Statistics	2008-05-15 10:53:54
196	Center for Population Research in LGBT Health	2008-07-09 12:55:45
197	County and City Data Book: 2007	2008-05-15 10:53:58
198	State and Metropolitan Area Data Book: 2006	2008-05-15 10:54:02
199	Statistical Abstract of the United States	2008-05-15 10:54:06
200	Medical Expenditure Panel Survey (MEPS)	2008-05-15 10:54:11
201	Racial Disparities in Mental Health: A Data-Driven Learning Guide	2008-05-15 10:54:14
202	Gender and Occupation: A Data-Driven Learning Guide	2008-05-15 10:54:18
203	Gender Role Attitudes in Japan: A Data-Driven Learning Guide	2008-05-15 10:54:32
204	Social Class and Health: A Data-Driven Learning Guide	2008-05-15 10:54:36
205	Aging and Social Integration: A Data-Driven Learning Guide	2008-05-15 10:54:39
206	Aging and Caregiving: A Data-Driven Learning Guide	2008-05-15 10:54:43
207	Frequency Distributions: A Data-Driven Learning Guide	2008-05-15 10:54:55
208	Statistics Online Computational Resource	2008-05-15 10:54:58
300	Government Attitudes by Race and Party: A Data-Driven Learning Guide	2009-10-29 11:33:10
301	Issue Evolution: A Data-Driven Learning Guide	2008-09-26 12:29:52
302	Voter Turnout in the United States: A Data-Driven Learning Guide	2008-09-12 15:21:59
303	Exploring the Second Shift: A Data-Driven Learning Guide	2008-09-12 15:36:38
305	Attitudinal Stability on Short- and Long-Term Issues: A Data-Driven Learning Guide	2008-09-26 11:20:14
306	Homelessness: A Data-Driven Learning Guide	2008-09-15 10:36:33
307	Exploring the Gender Gap: A Data-Driven Learning Guide	2008-09-15 10:53:19
308	State Legislators and Representation: A Data-Driven Learning Guide	2008-09-17 09:48:37
309	Generational Trends in Attitudes about Gun Ownership: A Data-Driven Learning Guide	2008-09-26 11:54:05
310	Gambling Behavior in the United States: A Data-Driven Learning Guide	2008-09-17 10:23:47
311	Religion among Teens: A Data-Driven Learning Guide	2008-09-17 10:37:16
312	Institutional Trust and Democratization: A Data-Driven Learning Guide	2009-10-29 11:40:07
313	Identity Politics and the Latino vs Hispanic Debate: A Data-Driven Learning Guide	2008-09-17 10:49:46
314	State Legislator Job Duties: A Data-Driven Learning Guide	2008-09-17 11:01:15
315	Altruism: A Data-Driven Learning Guide	2008-09-17 11:09:59
316	Social Capital in South Africa: A Data-Driven Learning Guide	2008-09-17 11:19:56
317	Attitudes About Democracy in South Africa: A Data-Driven Learning Guide	2009-10-29 11:44:34
318	Political Efficacy and Institutional Confidence in the United States: A Data-Driven Learning Guide	2009-10-29 11:49:34
319	Body Image, Gender, and School Experience in Adolescence: A Data-Driven Learning Guide	2009-10-29 11:58:28
320	Age and Attitudes about the Rights of Homosexuals: A Data-Driven Learning Guide	2008-09-17 11:30:48
321	Educational Attainment: A Data-Driven Learning Guide	2008-09-17 11:43:01
322	Characteristics of Teen Substance Users: A Data-Driven Learning Guide	2008-09-17 11:54:10
323	Social Class and Attitudes about Inequality: A Data-Driven Learning Guide	2008-09-17 12:02:27
324	Partisanship: A Data-Driven Learning Guide	2008-09-17 12:12:24
325	Demographics and Non-Traditional Civic Participation: A Data-Driven Learning Guide	2008-09-17 13:32:49
326	Partisanship and Vote Choice: A Data-Driven Learning Guide	2009-10-29 12:09:14
327	United States Foreign Policy Toward Haiti, 1994: A Data-Driven Learning Guide	2009-10-29 12:49:51
329	Attitudes about Racial Discrimination and Racial Inequality in the US: A Data-Driven Learning Guide	2008-09-17 13:45:50
331	Religion and Opinions on Democracy in Ghana: A Data-Driven Learning Guide	2008-09-17 14:18:28
332	Significance of Linked Fate for Women: A Data-Driven Learning Guide	2009-01-08 14:17:16
333	Acculturation: A Data-Driven Learning Guide	2008-09-26 14:45:51
334	Attitudes Toward Electoral Accountability: A Data-Driven Learning Guide	2008-09-25 11:05:35
335	War on Terror: A Data-Driven Learning Guide	2009-01-08 14:57:52
338	Gender in STEM Education: A Data-Driven Learning Guide	2009-03-26 10:22:31
339	Social Capital Over Time and Across Generations: A Data-Driven Learning Guide	2009-03-26 10:59:15
340	Interpersonal Power in Intimate Relationships: A Data-Driven Learning Guide	2009-04-30 13:42:21
341	Gender and Racial Differences in Teens' Attitudes Toward Sexuality: A Data-Driven Learning Guide	2009-10-29 12:57:31
342	Intergroup Relationships -- Attitudes and Behavior: A Data-Driven Learning Guide	2009-10-29 13:03:56
343	Sense of Control: A Data-Driven Learning Guide	2009-10-29 13:08:35
344	Ethics and Politics: A Data-Driven Learning Guide	2009-10-29 13:12:56
345	Allocation of Scarce Resources: A Data-Driven Learning Guide	2009-09-03 14:13:42
350	Civic Participation and Demographics in Rural China: A Data-Driven Learning Guide	2009-10-29 13:20:22
351	Crime Victimization in the United States: A Data-Driven Learning Guide	2009-10-29 13:25:01
354	American Dream at the Turn of the 21st Century: A Data-Driven Learning Guide	2011-01-14 13:19:28
355	Social Change: A Data-Driven Learning Guide	2011-01-14 13:34:05
356	Parents, Teachers, and Cognitive Development in Pre-Kindergarten Children: A Data-Driven Learning Guide	2011-01-14 13:50:31
357	Complementary and Alternative Medicine Use: A Data-Driven Learning Guide	2011-01-14 14:01:08
358	Euthanasia: A Data-Driven Learning Guide	2011-01-14 14:16:50
359	Attitudes About Global Warming in the United States: A Data-Driven Learning Guide	2011-01-14 14:26:37
360	June Cleaver, Myth or Reality?: A Data-Driven Learning Guide	2011-07-22 12:05:03
361	Gender Differences in the Incarcerated Population: A Data-Driven Learning Guide	2011-07-25 10:58:42
362	Free Blacks in Philadelphia, PA in the Mid-19th Century: A Data-Driven Learning Guide	2011-07-25 11:35:29
363	American Identity and Immigrant Resentment: A Data-Driven Learning Guide	2013-01-08 15:27:59
1001	Risk Aversion and Determinants of Stock Market Behavior Data	1996-01-03 00:00:00
1002	A Bibliography and Database of Hyperinflations	1996-01-03 00:00:00
1003	Unemployment Rate, Conflict Resolution and Financial Distress, and Debt Problems	1996-01-03 00:00:00
1004	Tax Policy and Corporate Saving Data	1996-01-03 00:00:00
1005	Advance Notice Provisions in Plant Closings	1996-01-03 00:00:00
1006	TISA:  The Total Income System of Accounts, 1946-1981 (Extended National Income and Product Data, and Associated Capital Stock Series, 1945-1981)	1996-01-03 00:00:00
1007	Real Federal Deficits and Government Net Worth	1996-01-03 00:00:00
1008	Course of the Exchange, London, 1698-1823 and Amsterdamsche Beurs, Amsterdam, 1723-1794	1996-01-03 00:00:00
1009	Persistence of Volatility and Stock Market Fluctuations, and Expected Stock Returns and Volatility	1996-01-03 00:00:00
1010	Meteor Showers or Heat Waves?	1996-01-03 00:00:00
1011	Incentive Effects of Tournaments Revisited: Evidence from the European PGA Tour	1996-01-03 00:00:00
1012	Estimating a Market Equilibrium Search Model	1996-01-03 00:00:00
1013	Simulation Programs for Five Economic Models	1996-01-03 00:00:00
1014	Market Volatility	1996-01-03 00:00:00
1015	Airline Safety Performance Data	1996-01-03 00:00:00
1016	Diffusion of New Technologies in the Electric Utilities Industry, 1950-1980	1996-01-03 00:00:00
1017	An Aging Society	1996-01-03 00:00:00
1018	Unionism and Productivity in West Virginia Coal Mining	1996-01-03 00:00:00
1019	Gauss Programs and Datasets	1996-01-03 00:00:00
1020	United States Labor Contract Data	1996-01-03 00:00:00
1021	What Moves Stock Prices?	1996-01-03 00:00:00
1022	Second Mortgages and Household Saving	1996-01-03 00:00:00
1023	Trends in Worker Demand for Union Representation Data	1996-01-03 00:00:00
1024	Flexible Parametric Estimation of Duration and Competing Risk Models	1996-01-03 00:00:00
1025	Efficiency Wages and the Inter-Industry Wage Structure	2008-05-15 10:55:02
1026	Returns to Seniority in Union and Nonunion Jobs Data	1996-01-03 00:00:00
1027	Learning Curve and Optimal Production Under Uncertainty-- Computer Program	1996-01-03 00:00:00
1028	The Quit-Layoff Distinction and Related Topics in Labor Turnover	1996-01-03 00:00:00
1029	Mean Reversion in Stock Prices	1996-01-03 00:00:00
1030	Are Consumers Forward Looking?	1996-01-03 00:00:00
1031	Semiparametric Arch Models	1996-01-03 00:00:00
1032	Excess Co-Movement of Commodity Prices	1996-01-03 00:00:00
1033	Samples of Federal Manuscript Data for Five Massachusetts Towns:  Chicopee, Easthampton, Montague, Pelham, and Springfield for 1880, 1900, and 1910	1996-01-03 00:00:00
1034	Rank-Order Voting Data, 1986-1988	1996-01-03 00:00:00
1035	Money Demand in the United States: A Quantitative Review	1996-01-03 00:00:00
1036	Causes of Preference Reversal, Study 1: Sets I, II, and III	1996-01-03 00:00:00
1037	Asset Market Experiments, 1986-1990	1996-01-03 00:00:00
1040	Fare Determination in Airline Hub-and-Spoke Networks	1996-01-03 00:00:00
1041	Seasonal Integration and Cointegration, (1955-1984)	1996-01-03 00:00:00
1042	Finite Lifetimes and the Effects of Budget Deficits on National Saving	1996-01-03 00:00:00
1043	Implied Arch Model from Options Prices	1996-01-03 00:00:00
1044	Opening and Closing Quotes for the Tokyo and New York Interbank Markets and Stock Exchanges	1996-01-03 00:00:00
1045	Project on Lifetime Incomes and Consumption	1996-01-03 00:00:00
1047	JudgeIT:  A Program for Evaluating Electoral Systems and Redistricting Plans	1996-01-03 00:00:00
1048	A Statistical Inference Engine for Small, Dependent Samples  [Version 2.310]	1996-01-03 00:00:00
1049	The Adjustment Mechanism 	1996-01-03 00:00:00
1050	Testing for Common Features	1996-01-03 00:00:00
1053	On Political Methodology	1996-01-03 00:00:00
1054	Unified Method of Evaluating Electoral Systems and Redistricting Plans: United States House of Representatives and Ohio State Legislature	1996-01-03 00:00:00
1055	Data and Programs from Publication(s) Reproducing Studies Done by James D. Hamilton et al.	1996-01-03 00:00:00
1056	Filtering with ARCH:  A Monte Carlo Experiment	1996-01-03 00:00:00
1057	Cointegration and Exchange Rate Dynamics	1996-01-03 00:00:00
1058	Medical Malpractice: An Empirical Examination of the Litigation Process	1996-01-03 00:00:00
1059	Comparison of Formal and Informal Dispute Resolution in Medical Malpractice	1996-01-03 00:00:00
1060	Rational Expectations Business Cycles in Search Equilibrium	1996-01-03 00:00:00
1061	Unemployment and Vacancies in Steady State Growth	1996-01-03 00:00:00
1062	Shiller-Boycko-Korobov Data, 1990-1992	1996-01-03 00:00:00
1063	Does the Exchange Rate Regime Affect the Economy?	1996-01-03 00:00:00
1064	Central Bank Independence and Economic Performance	1996-01-03 00:00:00
1065	Hypothesis Testing with Near-Unit Roots:  The Case of Long-Run Purchasing-Power Parity	1996-01-03 00:00:00
1066	The Effect of Mortgage Refinancing on Money Demand and the Monetary Aggregates	1996-01-03 00:00:00
1068	Is the Banking Industry in Decline?	1996-01-03 00:00:00
1069	Indicators of Monetary Policy	1996-01-03 00:00:00
1070	The Vulnerability of Pegged Exchange Rates	1996-01-03 00:00:00
1071	Rules and Discretion in Monetary Policy	1996-01-03 00:00:00
1072	Can Nominal Gross Domestic Product (GDP) Targeting Rules Stabilize the Economy?	1996-01-03 00:00:00
1073	The Federal Open Market Committee (FOMC) in 1992: A Monetary Conundrum	1996-01-03 00:00:00
1074	Monetary Aggregates, Monetary Policy and Economic Activity	1996-01-03 00:00:00
1075	Assessing Applied Econometric Results	1996-01-03 00:00:00
1076	Real Exchange Rates: Some Evidence from the Postwar Years	1996-01-03 00:00:00
1077	The Gold Standard, Bretton Woods and Other Monetary Regimes: A Historical Appraisal	1996-01-03 00:00:00
1078	Is an Infrastructure Crisis Lowering the Nation's Productivity?	1996-01-03 00:00:00
1079	Determinants of Consumer Installment Credit	1996-01-03 00:00:00
1080	Measuring Labor Market Dynamics:  Gross Flows of Workers and Jobs	1996-01-03 00:00:00
1081	Software to Estimate Model of Business Turnover Using the Characteristics of Business Owners Data Base	1996-01-03 00:00:00
1082	Individual and Market Prices for Risky Gambles	1996-01-03 00:00:00
1083	Measures of Money and the Quantity Theory	1996-06-10 00:00:00
1084	Financial Innovation, Deregulation and the "Credit View" of Monetary Policy	1996-01-03 00:00:00
1085	Can the Central Bank Achieve Price Stability?	1996-01-03 00:00:00
1086	The P-Star Model in Five Small Economies	1996-01-03 00:00:00
1087	Survey of Manufacturing Establishments in the United States Metalworking Sector, 1987	1996-01-04 00:00:00
1088	Explanations for the Increased Riskiness of Banks in the 1980's	1996-01-03 00:00:00
1089	Trade Between the United States and Eastern Europe, 1988-1993	1996-01-03 00:00:00
1090	Improving Contingent Valuation Methods	1996-01-03 00:00:00
1091	Contractual Arrangements as Signaling Devices: Evidence from Franchising	1996-01-03 00:00:00
1092	An Empirical Investigation of the Dynamics of PAC Contributors	1996-01-03 00:00:00
1093	Aggregate Economic Data, United States, 1947-1989	1996-01-03 00:00:00
1094	Thirty-five Industry KLEM Data, United States, 1947-1985	1996-01-03 00:00:00
1095	ARCH Models	1996-01-03 00:00:00
1096	Job Creation and Destruction:  The Dominance of Manufacturing	1996-01-03 00:00:00
1097	Economic Effects of the Baby Boom	1996-01-03 00:00:00
1098	Realignment of Target Zone Exchange Rate Systems	1996-01-03 00:00:00
1099	Case Study of Monetary Control: 1980-1982	1996-01-03 00:00:00
1100	Collective Bargaining Contracts in the Canadian Public Sector, 1964-1987	1996-01-03 00:00:00
1101	Enhancing Democracy Through Legislative Redistricting	1996-01-03 00:00:00
1102	Voter Registration and Election Laws in the United States, 1972-1992	1996-01-03 00:00:00
1103	The Contamination of Responses to Survey Items:  Economic Perceptions and Political Judgments	1996-01-03 00:00:00
1104	The Public as Thermostat: Dynamics of Preferences for Spending	1996-01-04 00:00:00
1105	Union Rents as a Source of Takeover Gains Among Target Shareholders	1996-01-03 00:00:00
1106	Political Stability, Security of Tenure, and Natural Resource Conservation in Developing Countries	1996-01-03 00:00:00
1107	Northern Nigeria Credit and Savings Survey, February 1988 -- February 1989	1996-01-03 00:00:00
1108	Constituency Service and Incumbency Advantage	1995-10-12 00:00:00
1109	On Party Platforms, Mandates, and Government Spending	1995-12-20 00:00:00
1112	Economics, Issues, and the Perot Candidacy: Voter Choice in the 1992 Presidential Election	1996-01-04 00:00:00
1113	American Ambivalence Toward Abortion Policy	1996-01-03 00:00:00
1114	Validity Assessment of a Machine-Coded Event Dataset for the Middle East, 1982-1992	1996-01-03 00:00:00
1115	A Unified Model of Cabinet Dissolution in Parliamentary Democracies 	1996-06-10 00:00:00
1116	International Cycles	1996-06-10 00:00:00
1119	Dynamics of Aggregate Partisanship	1996-12-03 00:00:00
1120	Dynamic Model of Campaign Spending in Congressional Elections	1996-12-03 00:00:00
1121	Dynamic Analysis of the Role of War Chests in Campaign Strategy	1996-12-03 00:00:00
1124	Estimates of ACIR's (Advisory Commission on Intergovernmental Relations) Tax Capacity and Tax Effort Indexes, All States, 1960-1991	1997-03-07 00:00:00
1125	National Black Election Study Pilot, 1996	1997-02-25 00:00:00
1126	Strategic Timing of Position-Taking in Congress:  A Study of the North American Free Trade Agreement	1997-03-07 00:00:00
1127	What Do the Leading Indicators Lead?	2000-08-28 00:00:00
1128	Reducing Toxic Chemical Releases and Transfers:  Explaining Outcomes for a Voluntary Program	1997-05-16 00:00:00
1129	Regime Types and Status Quo Evaluations	1997-05-16 00:00:00
1130	David Duke Campaigns: County-level Louisiana Data	1998-01-28 00:00:00
1131	Coercion and Protest: An Empirical Test in Two Democratic States	1997-05-16 00:00:00
1132	Solution to the Ecological Inference Problem: Reconstructing Individual Behavior from Aggregate Data	1997-05-16 00:00:00
1133	Nature of Party Governance, Connecting Conceptualization and Measurement	1998-01-20 00:00:00
1134	A Potential Case of Social Bankruptcy:  States' AFDC Payments and Their Teen Birthrates	1998-01-20 00:00:00
1135	Ethnopolitical Rebellion, a Cross-Sectional Analysis of the 1980s with Risk Assessments for the 1990s	1997-10-08 00:00:00
1136	Empirical Indicators of Crisis Phase in the Middle East, 1979-1995	1997-10-09 00:00:00
1137	Public Resistance to Indexation: A Puzzle	1998-01-20 00:00:00
1138	Survey on the Choice and Perception of Quality in Rural Health Institutions, Mbonge Subdivision, Southwest Province, Cameroun 	1997-11-18 00:00:00
1139	Repression and Dissent:  Substitution, Context, and Timing	1998-02-18 00:00:00
1140	New Approach to the Study of Ticket-Splitting	1998-05-15 00:00:00
1141	Political Economy and the Dynamics of Party Support in Contemporary Britain	1998-07-28 00:00:00
1142	Of Time and Consensual Norms in the Supreme Court	1998-07-28 00:00:00
1143	Effects of Fair Value Accounting on Investment Portfolio Management: How Fair Is It?	1998-08-27 00:00:00
1144	Narrow Versus Broad Measures of Money as Intermediate Targets: Some Forecast Results	1998-08-27 00:00:00
1145	Changes in the Distribution of Wealth:  Increasing Inequality	1998-08-27 00:00:00
1146	Outsider's Guide to Real Business Cycle Modeling	1998-08-27 00:00:00
1147	FOMC in 1993 and 1994: Monetary Policy in Transition	1998-08-27 00:00:00
1148	United States Official Forecasts of Group-of-Seven Economic Performance, 1976-1990	1998-08-18 00:00:00
1149	Regulation, Market Structure, and the Bank Failures of the Great Depression	1998-08-27 00:00:00
1151	Deflation and Real Economic Activity Under the Gold Standard	1998-08-27 00:00:00
1152	Capacity Utilization and Prices Within Industries	1998-08-27 00:00:00
1153	Are Federal Funds Rate Changes Consistent with Price Stability?  Results From an Indicator Model  	1998-08-27 00:00:00
1154	The Tax Man Cometh: Consumer Spending and Tax Payments	1998-08-27 00:00:00
1155	Are Some Agricultural Banks Too Agricultural?	1998-08-27 00:00:00
