study	code	description
20	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
21	XVII.B	Social Institutions and Behavior, Religion
22	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
24	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
25	II.A.1	Community and Urban Studies, Studies of Local Politics, United States
26	II.A.1	Community and Urban Studies, Studies of Local Politics, United States
27	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
28	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
29	XV.A	Organizational Behavior, United States
30	XIV.B.1	Mass Political Behavior and Attitudes, Political Participation, United States
31	II.C	Community and Urban Studies, Historical Urban and Community Structure Studies
32	II.C	Community and Urban Studies, Historical Urban and Community Structure Studies
33	X.A.3	Instructional Packages and Computer Programs, Instructional Packages, Other Instructional Packages
34	VIII.B.2	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, Nations Other Than the United States
35	VIII.B.2	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, Nations Other Than the United States
36	VIII.B.2	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, Nations Other Than the United States
37	XIII.A.2	Legislative and Deliberative Bodies, Historical and Contemporary Roll Call Voting Records, National Legislatures Outside the United States
38	XIV.A.4.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, Nations Other Than the United States
39	XIV.A.4.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, Nations Other Than the United States
40	XIV.A.4.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, Nations Other Than the United States
41	XIV.A.4.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, Nations Other Than the United States
42	XIV.A.4.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Merged Electoral and Ecological Data, Nations Other Than the United States
43	XIV.A.3.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, Nations Other Than the United States
44	XV.B	Organizational Behavior, Nations Other Than the United States
45	XIV.A.3.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, Nations Other Than the United States
46	VI.B	Elites and Leadership, Nations Other Than the United States
47	XIV.A.3.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, Nations Other Than the United States
48	I.B	Census Enumerations: Historical and Contemporary Population Characteristics, Nations Other Than the United States
49	III.A	Conflict, Aggression, Violence, Wars, Conflict and Stability Within Nations
49	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
51	III.A	Conflict, Aggression, Violence, Wars, Conflict and Stability Within Nations
52	XIII.A.2	Legislative and Deliberative Bodies, Historical and Contemporary Roll Call Voting Records, National Legislatures Outside the United States
54	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
55	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
56	II.C	Community and Urban Studies, Historical Urban and Community Structure Studies
57	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
58	I.B	Census Enumerations: Historical and Contemporary Population Characteristics, Nations Other Than the United States
59	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
60	XIV.A.2.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, United States
61	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
62	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
64	VIII.B.2	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, Nations Other Than the United States
65	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
66	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
67	XIII.A.1	Legislative and Deliberative Bodies, Historical and Contemporary Roll Call Voting Records, United States
69	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
71	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
72	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
73	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
74	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
75	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
77	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
78	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
79	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
80	III.A	Conflict, Aggression, Violence, Wars, Conflict and Stability Within Nations
111	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
111	XIX	External Data Resources
112	VIII.C	Governmental Structures, Policies, and Capabilities, Statistics on Government Operations
112	XIX	External Data Resources
113	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
113	XIX	External Data Resources
114	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
114	XIX	External Data Resources
115	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
115	XIX	External Data Resources
116	XIX	External Data Resources
117	XIX	External Data Resources
118	XIV.A.3.a	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Returns, United States
118	XIX	External Data Resources
119	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
120	XIX	External Data Resources
121	XIX	External Data Resources
122	XIX	External Data Resources
123	XIX	External Data Resources
124	XIX	External Data Resources
125	XIX	External Data Resources
126	XIX	External Data Resources
127	XIX	External Data Resources
128	XIX	External Data Resources
130	XIX	External Data Resources
131	XIX	External Data Resources
132	XIX	External Data Resources
133	XIX	External Data Resources
134	XIX	External Data Resources
135	XIX	External Data Resources
136	XIX	External Data Resources
137	XIX	External Data Resources
138	XIX	External Data Resources
139	XIX	External Data Resources
140	XIX	External Data Resources
141	XIX	External Data Resources
142	XIX	External Data Resources
143	XIX	External Data Resources
144	XIX	External Data Resources
145	XIX	External Data Resources
146	XIX	External Data Resources
147	XIX	External Data Resources
148	XIX	External Data Resources
149	XIX	External Data Resources
150	XIX	External Data Resources
151	XIX	External Data Resources
152	XIX	External Data Resources
153	XIX	External Data Resources
154	XIX	External Data Resources
155	XIX	External Data Resources
156	XIX	External Data Resources
157	XIX	External Data Resources
158	XIX	External Data Resources
159	XIX	External Data Resources
160	XIX	External Data Resources
163	X	Instructional Packages and Computer Programs
163	XIX	External Data Resources
164	XIX	External Data Resources
165	X	Instructional Packages and Computer Programs
165	XIX	External Data Resources
166	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
166	XIX	External Data Resources
167	XIX	External Data Resources
168	XV.A	Organizational Behavior, United States
169	XV.A	Organizational Behavior, United States
170	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
170	XIX	External Data Resources
171	XIX	External Data Resources
172	XIX	External Data Resources
174	XIX	External Data Resources
175	XIX	External Data Resources
176	XIX	External Data Resources
177	XIX	External Data Resources
178	XIX	External Data Resources
179	XIX	External Data Resources
180	XIX	External Data Resources
181	XIX	External Data Resources
182	XIX	External Data Resources
183	XIX	External Data Resources
184	XIX	External Data Resources
185	X.A.1	Instructional Packages and Computer Programs, Instructional Packages, SETUPS
185	XIX	External Data Resources
188	XIX	External Data Resources
189	IX	Health Care and Health Facilities
189	XIX	External Data Resources
190	XIX	External Data Resources
191	XIX	External Data Resources
192	XIX	External Data Resources
193	XIX	External Data Resources
195	XIX	External Data Resources
196	XIX	External Data Resources
197	XIX	External Data Resources
198	XIX	External Data Resources
199	XIX	External Data Resources
200	XIX	External Data Resources
201	X	Instructional Packages and Computer Programs
201	XIX	External Data Resources
202	X	Instructional Packages and Computer Programs
202	XIX	External Data Resources
203	X	Instructional Packages and Computer Programs
203	XIX	External Data Resources
204	X	Instructional Packages and Computer Programs
204	XIX	External Data Resources
205	X	Instructional Packages and Computer Programs
205	XIX	External Data Resources
206	X	Instructional Packages and Computer Programs
206	XIX	External Data Resources
207	X	Instructional Packages and Computer Programs
207	XIX	External Data Resources
208	XIX	External Data Resources
300	X	Instructional Packages and Computer Programs
300	XIX	External Data Resources
301	X	Instructional Packages and Computer Programs
301	XIX	External Data Resources
302	X	Instructional Packages and Computer Programs
302	XIX	External Data Resources
303	X	Instructional Packages and Computer Programs
303	XIX	External Data Resources
305	X	Instructional Packages and Computer Programs
305	XIX	External Data Resources
306	X	Instructional Packages and Computer Programs
306	XIX	External Data Resources
307	X	Instructional Packages and Computer Programs
307	XIX	External Data Resources
308	X	Instructional Packages and Computer Programs
308	XIX	External Data Resources
309	X	Instructional Packages and Computer Programs
309	XIX	External Data Resources
310	X	Instructional Packages and Computer Programs
310	XIX	External Data Resources
311	X	Instructional Packages and Computer Programs
311	XIX	External Data Resources
312	X	Instructional Packages and Computer Programs
312	XIX	External Data Resources
313	X	Instructional Packages and Computer Programs
313	XIX	External Data Resources
314	X	Instructional Packages and Computer Programs
314	XIX	External Data Resources
315	X	Instructional Packages and Computer Programs
315	XIX	External Data Resources
316	X	Instructional Packages and Computer Programs
316	XIX	External Data Resources
317	X	Instructional Packages and Computer Programs
317	XIX	External Data Resources
318	X	Instructional Packages and Computer Programs
318	XIX	External Data Resources
319	X	Instructional Packages and Computer Programs
319	XIX	External Data Resources
320	X	Instructional Packages and Computer Programs
320	XIX	External Data Resources
321	X	Instructional Packages and Computer Programs
321	XIX	External Data Resources
322	X	Instructional Packages and Computer Programs
322	XIX	External Data Resources
323	X	Instructional Packages and Computer Programs
323	XIX	External Data Resources
324	X	Instructional Packages and Computer Programs
324	XIX	External Data Resources
325	X	Instructional Packages and Computer Programs
325	XIX	External Data Resources
326	X	Instructional Packages and Computer Programs
326	XIX	External Data Resources
327	X	Instructional Packages and Computer Programs
327	XIX	External Data Resources
329	X	Instructional Packages and Computer Programs
329	XIX	External Data Resources
331	X	Instructional Packages and Computer Programs
331	XIX	External Data Resources
332	X	Instructional Packages and Computer Programs
332	XIX	External Data Resources
333	X	Instructional Packages and Computer Programs
333	XIX	External Data Resources
334	X	Instructional Packages and Computer Programs
334	XIX	External Data Resources
335	X	Instructional Packages and Computer Programs
335	XIX	External Data Resources
338	X	Instructional Packages and Computer Programs
338	XIX	External Data Resources
339	X	Instructional Packages and Computer Programs
339	XIX	External Data Resources
340	X	Instructional Packages and Computer Programs
340	XIX	External Data Resources
341	X	Instructional Packages and Computer Programs
341	XIX	External Data Resources
342	X	Instructional Packages and Computer Programs
342	XIX	External Data Resources
343	X	Instructional Packages and Computer Programs
343	XIX	External Data Resources
344	X	Instructional Packages and Computer Programs
344	XIX	External Data Resources
345	X	Instructional Packages and Computer Programs
345	XIX	External Data Resources
350	X	Instructional Packages and Computer Programs
350	XIX	External Data Resources
351	X	Instructional Packages and Computer Programs
351	XIX	External Data Resources
354	X	Instructional Packages and Computer Programs
354	XIX	External Data Resources
355	X	Instructional Packages and Computer Programs
355	XIX	External Data Resources
356	X	Instructional Packages and Computer Programs
356	XIX	External Data Resources
357	X	Instructional Packages and Computer Programs
357	XIX	External Data Resources
358	X	Instructional Packages and Computer Programs
358	XIX	External Data Resources
359	X	Instructional Packages and Computer Programs
359	XIX	External Data Resources
360	X	Instructional Packages and Computer Programs
360	XIX	External Data Resources
361	X	Instructional Packages and Computer Programs
361	XIX	External Data Resources
362	X	Instructional Packages and Computer Programs
362	XIX	External Data Resources
363	X	Instructional Packages and Computer Programs
363	XIX	External Data Resources
1001	XVIII	ICPSR Publication-Related Archive
1002	XVIII	ICPSR Publication-Related Archive
1003	XVIII	ICPSR Publication-Related Archive
1004	XVIII	ICPSR Publication-Related Archive
1005	XVIII	ICPSR Publication-Related Archive
1006	XVIII	ICPSR Publication-Related Archive
1007	XVIII	ICPSR Publication-Related Archive
1008	XVIII	ICPSR Publication-Related Archive
1009	XVIII	ICPSR Publication-Related Archive
1010	XVIII	ICPSR Publication-Related Archive
1011	XVIII	ICPSR Publication-Related Archive
1012	XVIII	ICPSR Publication-Related Archive
1013	XVIII	ICPSR Publication-Related Archive
1014	XVIII	ICPSR Publication-Related Archive
1015	XVIII	ICPSR Publication-Related Archive
1016	XVIII	ICPSR Publication-Related Archive
1017	XVIII	ICPSR Publication-Related Archive
1018	XVIII	ICPSR Publication-Related Archive
1019	XVIII	ICPSR Publication-Related Archive
1020	XVIII	ICPSR Publication-Related Archive
1021	XVIII	ICPSR Publication-Related Archive
1022	XVIII	ICPSR Publication-Related Archive
1023	XVIII	ICPSR Publication-Related Archive
1024	XVIII	ICPSR Publication-Related Archive
1025	XVIII	ICPSR Publication-Related Archive
1026	XVIII	ICPSR Publication-Related Archive
1027	XVIII	ICPSR Publication-Related Archive
1028	XVIII	ICPSR Publication-Related Archive
1029	XVIII	ICPSR Publication-Related Archive
1030	XVIII	ICPSR Publication-Related Archive
1031	XVIII	ICPSR Publication-Related Archive
1032	XVIII	ICPSR Publication-Related Archive
1033	XVIII	ICPSR Publication-Related Archive
1034	XVIII	ICPSR Publication-Related Archive
1035	XVIII	ICPSR Publication-Related Archive
1036	XVIII	ICPSR Publication-Related Archive
1037	XVIII	ICPSR Publication-Related Archive
1040	XVIII	ICPSR Publication-Related Archive
1041	XVIII	ICPSR Publication-Related Archive
1042	XVIII	ICPSR Publication-Related Archive
1043	XVIII	ICPSR Publication-Related Archive
1044	XVIII	ICPSR Publication-Related Archive
1045	XVIII	ICPSR Publication-Related Archive
1047	XVIII	ICPSR Publication-Related Archive
1048	XVIII	ICPSR Publication-Related Archive
1049	XVIII	ICPSR Publication-Related Archive
1050	XVIII	ICPSR Publication-Related Archive
1053	XVIII	ICPSR Publication-Related Archive
1054	XVIII	ICPSR Publication-Related Archive
1055	XVIII	ICPSR Publication-Related Archive
1056	XVIII	ICPSR Publication-Related Archive
1057	XVIII	ICPSR Publication-Related Archive
1058	XVIII	ICPSR Publication-Related Archive
1059	XVIII	ICPSR Publication-Related Archive
1060	XVIII	ICPSR Publication-Related Archive
1061	XVIII	ICPSR Publication-Related Archive
1062	XVIII	ICPSR Publication-Related Archive
1063	XVIII	ICPSR Publication-Related Archive
1064	XVIII	ICPSR Publication-Related Archive
1065	XVIII	ICPSR Publication-Related Archive
1066	XVIII	ICPSR Publication-Related Archive
1068	XVIII	ICPSR Publication-Related Archive
1069	XVIII	ICPSR Publication-Related Archive
1070	XVIII	ICPSR Publication-Related Archive
1071	XVIII	ICPSR Publication-Related Archive
1072	XVIII	ICPSR Publication-Related Archive
1073	XVIII	ICPSR Publication-Related Archive
1074	XVIII	ICPSR Publication-Related Archive
1075	XVIII	ICPSR Publication-Related Archive
1076	XVIII	ICPSR Publication-Related Archive
1077	XVIII	ICPSR Publication-Related Archive
1078	XVIII	ICPSR Publication-Related Archive
1079	XVIII	ICPSR Publication-Related Archive
1080	XVIII	ICPSR Publication-Related Archive
1081	XVIII	ICPSR Publication-Related Archive
1082	XVIII	ICPSR Publication-Related Archive
1083	XVIII	ICPSR Publication-Related Archive
1084	XVIII	ICPSR Publication-Related Archive
1085	XVIII	ICPSR Publication-Related Archive
1086	XVIII	ICPSR Publication-Related Archive
1087	XVIII	ICPSR Publication-Related Archive
1088	XVIII	ICPSR Publication-Related Archive
1089	XVIII	ICPSR Publication-Related Archive
1090	XVIII	ICPSR Publication-Related Archive
1091	XVIII	ICPSR Publication-Related Archive
1092	XVIII	ICPSR Publication-Related Archive
1093	XVIII	ICPSR Publication-Related Archive
1094	XVIII	ICPSR Publication-Related Archive
1095	XVIII	ICPSR Publication-Related Archive
1096	XVIII	ICPSR Publication-Related Archive
1097	XVIII	ICPSR Publication-Related Archive
1098	XVIII	ICPSR Publication-Related Archive
1099	XVIII	ICPSR Publication-Related Archive
1100	XVIII	ICPSR Publication-Related Archive
1101	XVIII	ICPSR Publication-Related Archive
1102	XVIII	ICPSR Publication-Related Archive
1103	XVIII	ICPSR Publication-Related Archive
1104	XVIII	ICPSR Publication-Related Archive
1105	XVIII	ICPSR Publication-Related Archive
1106	XVIII	ICPSR Publication-Related Archive
1107	XVIII	ICPSR Publication-Related Archive
1108	XVIII	ICPSR Publication-Related Archive
1109	XVIII	ICPSR Publication-Related Archive
1112	XVIII	ICPSR Publication-Related Archive
1113	XVIII	ICPSR Publication-Related Archive
1114	XVIII	ICPSR Publication-Related Archive
1115	XVIII	ICPSR Publication-Related Archive
1116	XVIII	ICPSR Publication-Related Archive
1119	XVIII	ICPSR Publication-Related Archive
1120	XVIII	ICPSR Publication-Related Archive
1121	XVIII	ICPSR Publication-Related Archive
1124	XVIII	ICPSR Publication-Related Archive
1125	XVIII	ICPSR Publication-Related Archive
1126	XVIII	ICPSR Publication-Related Archive
1127	XVIII	ICPSR Publication-Related Archive
1128	XVIII	ICPSR Publication-Related Archive
1129	XVIII	ICPSR Publication-Related Archive
1130	XVIII	ICPSR Publication-Related Archive
1131	XVIII	ICPSR Publication-Related Archive
1132	XVIII	ICPSR Publication-Related Archive
1133	XVIII	ICPSR Publication-Related Archive
1134	XVIII	ICPSR Publication-Related Archive
1135	XVIII	ICPSR Publication-Related Archive
1136	XVIII	ICPSR Publication-Related Archive
1137	XVIII	ICPSR Publication-Related Archive
1138	XVIII	ICPSR Publication-Related Archive
1139	XVIII	ICPSR Publication-Related Archive
1140	XVIII	ICPSR Publication-Related Archive
1141	XVIII	ICPSR Publication-Related Archive
1142	XVIII	ICPSR Publication-Related Archive
1143	XVIII	ICPSR Publication-Related Archive
1144	XVIII	ICPSR Publication-Related Archive
1145	XVIII	ICPSR Publication-Related Archive
1146	XVIII	ICPSR Publication-Related Archive
1147	XVIII	ICPSR Publication-Related Archive
1148	XVIII	ICPSR Publication-Related Archive
1149	XVIII	ICPSR Publication-Related Archive
1151	XVIII	ICPSR Publication-Related Archive
1152	XVIII	ICPSR Publication-Related Archive
1153	XVIII	ICPSR Publication-Related Archive
1154	XVIII	ICPSR Publication-Related Archive
1155	XVIII	ICPSR Publication-Related Archive
1156	XVIII	ICPSR Publication-Related Archive
1157	XVIII	ICPSR Publication-Related Archive
1158	XVIII	ICPSR Publication-Related Archive
1159	XVIII	ICPSR Publication-Related Archive
1160	XVIII	ICPSR Publication-Related Archive
1161	XVIII	ICPSR Publication-Related Archive
1162	XVIII	ICPSR Publication-Related Archive
1163	XVIII	ICPSR Publication-Related Archive
1164	XVIII	ICPSR Publication-Related Archive
1165	XVIII	ICPSR Publication-Related Archive
1166	XVIII	ICPSR Publication-Related Archive
1167	XVIII	ICPSR Publication-Related Archive
1168	XVIII	ICPSR Publication-Related Archive
1169	XVIII	ICPSR Publication-Related Archive
1170	XVIII	ICPSR Publication-Related Archive
1171	XVIII	ICPSR Publication-Related Archive
1172	XVIII	ICPSR Publication-Related Archive
1173	XVIII	ICPSR Publication-Related Archive
1174	XVIII	ICPSR Publication-Related Archive
1175	XVIII	ICPSR Publication-Related Archive
1176	XVIII	ICPSR Publication-Related Archive
1177	XVIII	ICPSR Publication-Related Archive
1178	XVIII	ICPSR Publication-Related Archive
1179	XVIII	ICPSR Publication-Related Archive
1180	XVIII	ICPSR Publication-Related Archive
1181	XVIII	ICPSR Publication-Related Archive
1186	XVIII	ICPSR Publication-Related Archive
1187	XVIII	ICPSR Publication-Related Archive
1190	XVIII	ICPSR Publication-Related Archive
1191	XVIII	ICPSR Publication-Related Archive
1192	XVIII	ICPSR Publication-Related Archive
1193	XVIII	ICPSR Publication-Related Archive
1194	XVIII	ICPSR Publication-Related Archive
1196	XVIII	ICPSR Publication-Related Archive
1197	XVIII	ICPSR Publication-Related Archive
1198	XVIII	ICPSR Publication-Related Archive
1199	XVIII	ICPSR Publication-Related Archive
1200	XVIII	ICPSR Publication-Related Archive
1201	XVIII	ICPSR Publication-Related Archive
1202	XVIII	ICPSR Publication-Related Archive
1203	XVIII	ICPSR Publication-Related Archive
1204	XVIII	ICPSR Publication-Related Archive
1205	XVIII	ICPSR Publication-Related Archive
1206	XVIII	ICPSR Publication-Related Archive
1207	XVIII	ICPSR Publication-Related Archive
1208	XIX	External Data Resources
1209	XVIII	ICPSR Publication-Related Archive
1210	XVIII	ICPSR Publication-Related Archive
1211	XVIII	ICPSR Publication-Related Archive
1212	XVIII	ICPSR Publication-Related Archive
1213	XVIII	ICPSR Publication-Related Archive
1214	XVIII	ICPSR Publication-Related Archive
1215	XVIII	ICPSR Publication-Related Archive
1216	XVIII	ICPSR Publication-Related Archive
1217	XVIII	ICPSR Publication-Related Archive
1218	XVIII	ICPSR Publication-Related Archive
1219	XVIII	ICPSR Publication-Related Archive
1220	XVIII	ICPSR Publication-Related Archive
1221	XVIII	ICPSR Publication-Related Archive
1222	XVIII	ICPSR Publication-Related Archive
1223	XVIII	ICPSR Publication-Related Archive
1224	XVIII	ICPSR Publication-Related Archive
1225	XVIII	ICPSR Publication-Related Archive
1226	XVIII	ICPSR Publication-Related Archive
1227	XVIII	ICPSR Publication-Related Archive
1228	XVIII	ICPSR Publication-Related Archive
1229	XVIII	ICPSR Publication-Related Archive
1230	XVIII	ICPSR Publication-Related Archive
1231	XVIII	ICPSR Publication-Related Archive
1232	XVIII	ICPSR Publication-Related Archive
1233	XVIII	ICPSR Publication-Related Archive
1234	XVIII	ICPSR Publication-Related Archive
1235	XVIII	ICPSR Publication-Related Archive
1236	XVIII	ICPSR Publication-Related Archive
1237	XVIII	ICPSR Publication-Related Archive
1238	XVIII	ICPSR Publication-Related Archive
1239	XVIII	ICPSR Publication-Related Archive
1240	XVIII	ICPSR Publication-Related Archive
1241	XVIII	ICPSR Publication-Related Archive
1242	XVIII	ICPSR Publication-Related Archive
1243	XVIII	ICPSR Publication-Related Archive
1244	XVIII	ICPSR Publication-Related Archive
1245	XVIII	ICPSR Publication-Related Archive
1246	XVIII	ICPSR Publication-Related Archive
1247	XVIII	ICPSR Publication-Related Archive
1248	XVIII	ICPSR Publication-Related Archive
1249	XVIII	ICPSR Publication-Related Archive
1250	XVIII	ICPSR Publication-Related Archive
1251	XVIII	ICPSR Publication-Related Archive
1252	XVIII	ICPSR Publication-Related Archive
1253	XVIII	ICPSR Publication-Related Archive
1254	XVIII	ICPSR Publication-Related Archive
1255	XVIII	ICPSR Publication-Related Archive
1256	XVIII	ICPSR Publication-Related Archive
1257	XVIII	ICPSR Publication-Related Archive
1258	XVIII	ICPSR Publication-Related Archive
1259	XVIII	ICPSR Publication-Related Archive
1260	XVIII	ICPSR Publication-Related Archive
1261	XVIII	ICPSR Publication-Related Archive
1262	XVIII	ICPSR Publication-Related Archive
1263	XVIII	ICPSR Publication-Related Archive
1264	XVIII	ICPSR Publication-Related Archive
1265	XVIII	ICPSR Publication-Related Archive
1266	XVIII	ICPSR Publication-Related Archive
1267	XVIII	ICPSR Publication-Related Archive
1268	XVIII	ICPSR Publication-Related Archive
1269	XVIII	ICPSR Publication-Related Archive
1270	XVIII	ICPSR Publication-Related Archive
1271	XVIII	ICPSR Publication-Related Archive
1272	XVIII	ICPSR Publication-Related Archive
1273	XVIII	ICPSR Publication-Related Archive
1274	XVIII	ICPSR Publication-Related Archive
1275	XVIII	ICPSR Publication-Related Archive
1276	XVIII	ICPSR Publication-Related Archive
1277	XVIII	ICPSR Publication-Related Archive
1278	XVIII	ICPSR Publication-Related Archive
1279	XVIII	ICPSR Publication-Related Archive
1281	XVIII	ICPSR Publication-Related Archive
1282	XVIII	ICPSR Publication-Related Archive
1283	XVIII	ICPSR Publication-Related Archive
1284	XVIII	ICPSR Publication-Related Archive
1285	XVIII	ICPSR Publication-Related Archive
1286	XVIII	ICPSR Publication-Related Archive
1287	XVIII	ICPSR Publication-Related Archive
1288	XVIII	ICPSR Publication-Related Archive
1289	XVIII	ICPSR Publication-Related Archive
1290	XVIII	ICPSR Publication-Related Archive
1291	XVIII	ICPSR Publication-Related Archive
1292	XVIII	ICPSR Publication-Related Archive
1293	XVIII	ICPSR Publication-Related Archive
1294	XVIII	ICPSR Publication-Related Archive
1295	XVIII	ICPSR Publication-Related Archive
1296	XVIII	ICPSR Publication-Related Archive
1297	XVIII	ICPSR Publication-Related Archive
1298	XVIII	ICPSR Publication-Related Archive
1299	XVIII	ICPSR Publication-Related Archive
1300	XVIII	ICPSR Publication-Related Archive
1301	XVIII	ICPSR Publication-Related Archive
1302	XVIII	ICPSR Publication-Related Archive
1303	XVIII	ICPSR Publication-Related Archive
1304	XVIII	ICPSR Publication-Related Archive
1305	XVIII	ICPSR Publication-Related Archive
1306	XVIII	ICPSR Publication-Related Archive
1307	XVIII	ICPSR Publication-Related Archive
1308	XVIII	ICPSR Publication-Related Archive
1309	XVIII	ICPSR Publication-Related Archive
1310	XVIII	ICPSR Publication-Related Archive
1311	XVIII	ICPSR Publication-Related Archive
1312	XVIII	ICPSR Publication-Related Archive
1313	XVIII	ICPSR Publication-Related Archive
1314	XVIII	ICPSR Publication-Related Archive
1315	XVIII	ICPSR Publication-Related Archive
1316	XVIII	ICPSR Publication-Related Archive
1317	XVIII	ICPSR Publication-Related Archive
