study	subject
31	foreign born
31	German Americans
31	household composition
31	Irish Americans
31	nationality
31	native born
31	nineteenth century
31	occupations
31	personal wealth
31	place of birth
31	population
31	school age children
31	urban areas
32	census data
32	extended families
32	families
32	family size
32	household composition
32	households
32	living arrangements
32	nineteenth century
32	occupations
32	place of birth
32	rural areas
32	townships
32	urban areas
33	election returns
33	instruction
33	instructional materials
33	national elections
33	referendum
33	vote count
34	agricultural land
34	agriculture
34	automobile ownership
34	birth rates
34	elections
34	government expenditures
34	government services
34	home ownership
34	household composition
34	housing
34	income
34	industry
34	infant mortality
34	labor force
34	literacy rate
34	migration
34	mortality rates
34	national elections
34	occupations
34	place of birth
34	political parties
34	population characteristics
34	population density
34	poverty
34	provincial elections
34	public policy
34	rural population
34	taxes
34	urban areas
34	voters
34	voting behavior
35	agricultural production
35	education
35	energy consumption
35	government expenditures
35	government revenues
35	Gross National Product
35	income tax
35	infant mortality
35	labor force
35	life expectancy
35	national debt
35	nineteenth century
35	political ideologies
35	political systems
35	population characteristics
35	unemployment
35	urban areas
35	voter attitudes
36	agricultural production
36	agricultural workers
36	agriculture
36	birth rates
36	civil service
36	college students
36	education expenditures
36	elementary school students
36	energy consumption
36	government employees
36	government expenditures
36	governmental services
36	gross national product
36	health expenditures
36	health providers
36	high school students
36	income tax
36	labor unions
36	military expenditures
36	pensions
36	population
36	public assistance
36	rural population
36	suicide
36	teachers
36	urban population
36	voters
36	voter turnout
36	voting behavior
37	legislative bodies
37	legislators
37	nineteenth century
37	Prussian National Assembly
37	roll call data
37	voting patterns
38	administrative divisions
38	agriculture
38	census data
38	crime rates
38	election returns
38	housing
38	industry
38	labor force
38	national elections
38	occupations
38	political parties
38	population characteristics
38	population migration
38	urbanization
38	voter attitudes
39	census data
39	election returns
39	elections
39	national elections
39	political attitudes
39	political parties
39	voters
39	voting behavior
40	agriculture
40	census data
40	commercial districts
40	communes
40	domestic trade
40	education
40	election returns
40	elections
40	employment
40	households
40	housing units
40	industry
40	modernization
40	occupations
40	political parties
40	population distribution
40	rural areas
40	urban areas
40	urbanization
41	birth rates
41	census data
41	communes
41	education
41	education expenditures
41	emigration
41	election returns
41	elections
41	electoral census
41	enrollments
41	households
41	income distribution
41	mortality rates
41	nineteenth century
41	occupations
41	parliamentary elections
41	political attitudes
41	political participation
41	political parties
41	population
41	religious affiliation
41	school age children
41	taxes
41	teachers
41	transportation
41	unwed mothers
41	voters
41	voter turnout
42	agriculture
42	Catholics
42	civil service
42	election returns
42	elections
42	industry
42	Jews
42	labor force
42	military
42	national elections
42	occupations
42	political parties
42	Protestants
42	religion
42	runoff elections
42	trade
42	transportation
42	urban population
42	voters
42	Weimar Republic
42	working women
43	Catholics
43	election returns
43	elections
43	German Reichstag
43	nineteenth century
43	parliamentary elections
43	political attitudes
43	political parties
43	population
43	Protestants
43	voters
43	voter turnout
44	Nazi Party
44	occupations
44	party membership
44	place of residence
44	political affiliation
44	political attitudes
44	political parties
45	Dutch Parliament
45	election returns
45	elections
45	political parties
45	religious affiliation
45	voters
46	biographical data
46	demographic characteristics
46	influence
46	leadership
46	national elites
46	occupations
47	communes
47	election returns
47	elections
47	political parties
47	provinces
47	voter registration
47	voters
47	voter turnout
47	voting precincts
48	birth rates
48	census data
48	demographic characteristics
48	divorce rates
48	education
48	elementary school students
48	elementary schools
48	employment
48	families
48	housing
48	libraries
48	literacy
48	marriage rates
48	migration
48	mortality rates
48	nativity
48	occupations
48	religion
48	schools
48	teacher training
48	transportation
48	vital statistics
49	arrests
49	arrondissements
49	civil disorders
49	demographic characteristics
49	labor force
49	nineteenth century
49	population density
49	prosecution
49	riots
49	trial procedures
49	violence
51	administrative divisions
51	aggression
51	civil disorders
51	communes
51	internal political conflict
51	nineteenth century
51	political affiliation
51	political behavior
51	political violence
51	twentieth century
51	violence
52	France
52	French National Assembly
52	legislation
52	legislative bodies
52	legislators
52	party members
52	political parties
52	roll call data
54	census data
54	demographic characteristics
54	employment
54	ethnicity
54	families
54	household composition
54	housing
54	housing conditions
54	occupations
54	population
55	biographical data
55	British Parliament
55	economic expansion
55	economic growth
55	England
55	Great Britain
55	investors
55	members of parliament
55	seventeenth century
55	sixteenth century
55	trade
56	cities
56	economic conditions
56	historical data
56	immigration
56	industry
56	occupations
56	politics
56	population dynamics
56	population migration
56	urban areas
56	urban population
56	urbanization
57	agricultural production
57	census data
57	economic development
57	family size
57	industry
57	literacy rates
57	manufacturing
57	occupations
57	population
57	rural areas
57	rural development
57	social stratification
57	social structure
57	urban areas
58	arts
58	Catholics
58	employment
58	industry
58	labor unions
58	literacy rates
58	population
58	population characteristics
58	recreation
58	religious organizations
58	rural areas
58	union membership
58	urban areas
58	voter turnout
58	voters
58	voting behavior
59	income
59	income tax
59	Internal Revenue Service
59	personal exemptions
59	tax returns
59	taxes
59	taxpayers
59	zip code areas
60	census data
60	demographic characteristics
60	employment
60	Hispanic origins
60	households
60	labor force
60	national elections
60	population characteristics
60	population estimates
60	unemployment
60	voter attitudes
60	voter registration
60	voters
60	voting behavior
61	agriculture
61	census data
61	cities
61	counties
61	crime
61	demographic characteristics
61	education
61	employment
61	government expenditures
61	government revenues
61	household composition
61	human services
61	income
61	manufacturing industry
61	party membership
61	population characteristics
61	Social Security
61	states (USA)
61	taxes
61	trade
61	voting behavior
62	congressional elections (US House)
62	congressional elections (US Senate)
62	constitutional amendments
62	election precincts
62	election returns
62	elections
62	national elections
62	national politics
62	presidential elections
62	referendum
62	state elections
62	state politics
62	vote count
62	voting behavior
64	boroughs
64	economic conditions
64	education
64	government expenditures
64	housing
64	occupations
64	politics
64	population characteristics
65	cities
65	economic indicators
65	government expenditures
65	local government
65	municipal expenditures
65	municipalities
65	public policy
65	urban areas
65	urban population
66	governmental programs
66	innovation
66	innovation diffusion
66	legislation
66	legislative process
66	modernization
66	nineteenth century
66	policy making
66	policy analysis
66	program evaluation
66	public policy
66	state government
66	state politics
66	states (USA)
66	twentieth century
67	biographical data
67	Confederate Congresses (USA)
67	Confederate States of America
67	land ownership
67	legislative bodies
67	legislators
67	roll call data
67	slave ownership
67	slavery
69	census data
69	counties
69	economic conditions
69	employee benefits
69	employment
69	finance
69	government employees
69	government expenditures
69	government revenues
69	local government
69	municipal services
69	municipalities
69	school districts
69	state government
69	townships
71	election returns
71	elections
71	electoral systems
71	gubernatorial elections
71	political attitudes
71	political parties
71	primaries
71	referendum
71	senatorial elections
71	state elections
72	candidates
72	counties
72	demographic characteristics
72	election returns
72	elections
72	gubernatorial elections
72	national elections
72	political attitudes
72	political parties
72	presidential elections
72	primaries
72	southern United States
72	state elections
72	voting behavior
73	candidates
73	constituencies
73	election returns
73	elections
73	gubernatorial elections
73	party membership
73	political affiliation
73	political attitudes
73	political parties
73	primaries
73	senatorial elections
73	state elections
74	congressional elections (US House)
74	constitutional amendments
74	election precincts
74	election returns
74	elections
74	gubernatorial elections
74	referendum
74	state elections
74	state politics
74	vote count
74	voting behavior
74	Michigan
74	United States
75	elections
75	immigrants
75	nineteenth century
75	political attitudes
75	political parties
75	state elections
75	states (USA)
75	twentieth century
75	vote count
75	voter turnout
77	census data
77	demographic characteristics
77	families
77	household composition
77	households
77	housing
77	local government
77	poverty
77	revenue sharing
78	census data
78	cities
78	counties
78	income
78	income estimates
78	minor civil divisions
78	population
78	population estimates
78	townships
79	congressional elections
79	eighteenth century
79	election returns
79	elections
79	gubernatorial elections
79	nineteenth century
79	political attitudes
79	political behavior
79	political parties
79	presidential elections
80	aggression
80	civil disorders
80	conflict
80	fatalities
80	injuries
80	internal political conflict
80	nineteenth century
80	political violence
80	social conflict
80	twentieth century
111	business conditions
111	consumer expenditures
111	demographic statistics
111	economic indicators
111	education
111	employment
111	health
111	income
111	industrial indicators
111	international economics
111	occupations
111	productivity
111	statistical data
111	unemployment
111	wages and salaries
112	federal funds
112	government contracts
112	government expenditures
112	government payments
112	grants
112	insurance
112	loans
112	statistical data
112	wages and salaries
113	agricultural services
113	business conditions
113	businesses
113	construction industry
113	counties
113	economic conditions
113	employment
113	finance
113	manufacturing industry
113	mining industry
113	public utilities
113	real estate
113	retail industry
113	service industry
113	trade
113	transportation
113	wages and salaries
114	demographic characteristics
114	employment
114	households
114	labor force
114	occupation
114	population characteristics
114	population estimates
115	campaign contributions
115	campaign expenditures
115	campaign finance law
115	candidates
115	congressional elections
115	elections
115	electoral systems
115	Federal Election Campaign Act
115	government agencies
115	information systems
115	political action committees
115	presidential elections
115	political campaigns
115	political parties
115	voters
115	voting behavior
116	census data
116	censuses
116	education
116	ethnicty
116	fertility
116	household composition
116	immigration
116	labor force
116	life events
116	marital status
116	occupational categories
116	population characteristics
116	population migration
117	age
117	aging
117	cognitive functioning
117	family life
117	health behavior
117	health status
117	living arrangements
117	medical conditions
117	mental health
117	older adults
118	election returns
118	elections
118	electoral systems
118	national elections
118	world politics
120	agriculture
120	banking
120	business
120	climate
120	cost of living
120	crime
120	criminal justice system
120	demographic characteristics
120	education
120	elections
120	employment
120	energy
120	finance
120	government
120	health
120	housing conditions
120	housing costs
120	income
120	industry
120	insurance
120	law enforcement
120	natural resouces
120	population
120	poverty
120	public assistance programs
120	public utilities
120	social services
120	taxes
120	transportation
120	work
121	adolescents
121	African Americans
121	child health
121	delinquent behavior
121	drug use
121	HIV
121	mental health
121	physical condition
121	social attitudes
121	social behavior
121	urban population
121	young adults
121	youths
122	religious affiliation
122	religious attitudes
122	religious congregations
122	religious denominations
122	worship
123	census data
123	children
123	databases
123	education
123	employment
123	fertility
123	income
123	information systems
123	marriage
123	migration
123	mortality
123	older adults
123	population characteristics
123	population trends
123	race
124	databases
124	education
124	elementary schools
124	school personnel
124	secondary schools
124	statistical data
124	teachers
125	European Community
125	international organizations
125	labor (work)
125	nations
125	states (USA)
125	statistical data
125	United Nations
125	World Health Organization
126	attitudes
126	census data
126	demographic statistics
126	historical data
126	economic behavior
126	electoral behavior
126	fertility
126	finance
126	health
126	health attitudes
126	opinion polls
126	political attitudes
126	Southern United States
126	states (USA)
126	statistical data
126	world population
127	census data
127	economic conditions
127	education
127	elections
127	employment
127	ethnicity
127	families
127	government
127	housing
127	industry
127	labor (work)
127	population
127	statistics
127	trade
128	AIDS
128	cancer
128	community health
128	diabetes
128	disease
128	disease prevention
128	epidemiology
128	health behavior
128	hospitals
128	illness
128	mortality rates
128	public health
128	risk factors
128	statistical data
130	agriculture
130	databases
130	education
130	employment
130	energy
130	environment
130	government agencies
130	health
130	income
130	information systems
130	labor (work)
130	population characteristics
130	population trends
130	social indicators
130	statistical data
130	transportation
131	education
131	family background
131	health
131	household composition
131	job history
131	life satisfaction
131	living conditions
131	occupational mobility
131	older adults
131	political change
131	social change
131	social indicators
131	Social Security
131	social services
131	time utilization
131	wages and salaries
132	age
132	census data
132	computer aided mapping
132	demographic statistics
132	families
132	income
132	population growth
132	population trends
132	racial segregation
132	social indicators
133	academic libraries
133	expenditures
133	higher education
133	library collections
133	library services
133	personnel
133	research
133	teaching
133	universities
134	age
134	causes of death
134	death
134	death records
134	ethnicity
134	mortality rates
134	gender
134	marital status
134	race
135	agriculture
135	business
135	consumers
135	cost of living
135	demographic characteristics
135	economics
135	education
135	energy
135	environment
135	finance
135	government
135	health
135	housing
135	industry
135	international economics
135	international trade
135	labor (work)
135	science
135	sociology
135	statistical data
136	economic issues
136	electoral issues
136	state elections
136	political campaigns
136	opinion polls
136	political attitudes
136	political issues
136	public opinion
136	social attitudes
136	social issues
137	economic conditions
137	energy
137	environment
137	fuels
137	industrial production
137	price indexes
137	prices
137	renewable energy
138	age
138	death
138	gender
138	marital status
138	mortality rates
139	economic behavior
139	family life
139	health care
139	health status
139	household income
139	income
139	marriage
139	older adults
139	pensions
139	retirement
139	retirement planning
139	social networks
140	chronic illnesses
140	community health
140	disease
140	disease prevention
140	health behavior
140	public health
140	risk factors
140	states (USA)
140	trends
141	aging
141	aging population
141	census data
141	demographic characteristics
141	disabilities
141	health
141	minorities
141	older adults
141	population estimates
141	population projections
141	statistical data
142	aging
142	family life
142	health behavior
142	health status
142	housing
142	living arrangements
142	mental health
142	older adults
142	quality of life
143	business conditions
143	census data
143	cities
143	crime statistics
143	employment
143	government spending
143	local government
143	metropolitan areas
143	suburbs
143	urban areas
144	AIDS
144	child health
144	demographic statistics
144	developing nations
144	family planning
144	health
144	infant mortality
144	women in development
144	womens health care
145	attitudes
145	economic behavior
145	employment
145	families
145	health status
145	household expenditures
145	household income
145	housing
145	income
145	older adults
145	poverty
146	demographic characteristics
146	education
146	gender roles
146	health
146	labor force
146	poverty
146	political participation
146	political power
146	population dynamics
146	socioeconomic status
146	women in development
147	databases
147	information sources
147	social sciences
147	statistical data
148	church membership
148	clergy
148	religion
148	religious behavior
148	religious congregations
148	religious denominations
148	religious organizations
148	worship
149	census data
149	demographic characteristics
149	ethnicity
149	family planning
149	fertility
149	households
149	income
149	infant mortality
149	labor force
149	language
149	life expectancy
149	literacy
149	marital status
149	mortality rates
149	population characteristics
149	population migration
149	religion
149	vital statistics
149	world population
150	economic behavior
150	economic change
150	economic conditions
150	employment
150	families
150	household expenditures
150	household income
150	income
150	older adults
150	poverty
151	compensation
151	employee benefits
151	labor costs
151	trends
151	wages and salaries
152	attitudes
152	case processing
152	communities
152	computer programs
152	corrections
152	court cases
152	courts
152	crime
152	crime statistics
152	criminal justice system
152	delinquent behavior
152	drug related crimes
152	instructional materials
152	police
152	victimization
153	aging
153	demographic characteristics
153	economic indicators
153	gerontology
153	health care costs
153	health services utilization
153	mental health
153	older adults
153	psychological wellbeing
153	physical condition
153	social indicators
154	aging
154	AIDS
154	alcohol abuse
154	drug abuse
154	drug treatment
154	drug use
154	drugs
154	gambling
154	health behavior
154	lifestyles
154	mental health
154	prenatal care
154	substance abuse treatment
154	treatment costs
154	treatment outcome
154	treatment programs
154	youths
155	crime in schools
155	education
155	educational assessment
155	educational policy
155	educational programs
155	elementary education
155	libraries
155	museums
155	postsecondary education
155	schools
155	secondary education
155	students
155	teachers
155	vocational education
156	aging
156	disabilities
156	health care services
156	health services utilization
156	home health care
156	illness
156	independent living
156	living arrangements
156	long term care
156	nursing homes
156	older adults
157	chronic disabilities
157	chronic illnesses
157	disease
157	health
157	health behavior
157	health care access
157	health care costs
157	health care delivery
157	illness
157	medical care
157	physicians
157	physician practice
157	primary care
157	public health
157	substance abuse
158	aging
158	cognitive functioning
158	cognitive impairment
158	cognitive processes
158	older adults
159	aging
159	ethnicity
159	health care utilization
159	health expenditures
159	health insurance
159	health status
159	living arrangements
159	medical conditions
159	mental health
159	older adults
159	risk factors
160	aging
160	economic behavior
160	education
160	employment history
160	families
160	health
160	health care services
160	health insurance
160	health status
160	hospitalization
160	income
160	living arrangements
160	marriage
160	medical conditions
160	mental health
160	older adults
160	retirement
160	social networks
163	instructional materials
163	political science
163	public policy
163	social sciences
163	sociology
164	data
164	research
164	risk assessment
164	social sciences
165	instructional materials
165	research
165	social sciences
166	census
166	census data
166	demographic characteristics
166	population characteristics
167	business
167	congressional elections
167	education
167	energy
167	homosexuality
167	human rights
167	immigration
167	news media
167	opinion polls
167	patriotism
167	political parties
167	poverty
167	privacy
167	public approval
167	public opinion
167	religion
167	world politics
167	youths
168	administrative records
168	data
168	information dissemination
168	information services
168	social sciences
169	administrative records
169	data
169	information dissemination
169	information services
169	social sciences
170	administrative divisions
170	counties
170	historical data
170	population distribution
170	maps
171	adoption
171	child custody
171	child support
171	divorce
171	education
171	families
171	family life
171	family relationships
171	family structure
171	fertility
171	financial assets
171	household composition
171	income
171	job history
171	life events
171	life history
171	living arrangements
172	children
172	education
172	educational achievement
172	families
172	neighborhood characteristics
172	neighborhood conditions
172	neighborhoods
172	policy
172	policy making
172	welfare reform
174	acculturation
174	child health
174	children
174	demographic characteristics
174	educational background
174	employment
174	family background
174	family life
174	financial assets
174	health care costs
174	health insurance
174	health status
174	household composition
174	immigrants
174	immigration
174	immigration policy
174	income
174	job history
174	parent child relationship
174	population dynamics
174	population migration
174	religion
175	education
175	family relationships
175	family structure
175	fertility
175	health
175	household composition
175	job history
175	life history
175	living arrangements
175	sexual behavior
175	young adults
176	diet
176	economic behavior
176	economic conditions
176	health
176	health behavior
176	health status
176	household composition
176	household income
176	households
177	employment
177	household composition
177	households
177	income
177	migrants
177	population migration
178	child health
178	child nutrition
178	diet
178	family relationships
178	health
178	household composition
178	households
178	infant feeding
178	infants
178	nutrition
179	family structure
179	home ownership
179	household composition
179	households
179	immigrants
179	immigration
179	income
179	job history
179	population migration
179	social networks
179	social services
179	work experience
180	children
180	cognitive functioning
180	emotional development
180	families
180	family life
180	fathers
180	health status
180	home environment
180	mothers
180	neighborhood characteristics
180	neighborhoods
180	parents
180	policy making
180	social networks
180	unwed mothers
181	diet
181	economic reform
181	health status
181	household composition
181	household consumption
181	household expenditures
181	household income
181	households
181	income
181	social reform
182	children
182	cognitive functioning
182	educational background
182	family background
182	friendships
182	health
182	household composition
182	substance abuse
182	young adults
183	adolescents
183	communities
183	families
183	friendships
183	health
183	health behavior
183	health status
183	neighborhoods
183	schools
183	social networks
183	young adults
184	communities
184	education
184	employment
184	families
184	family life
184	fertility
184	food costs
184	health services utilization
184	health status
184	household composition
184	household income
184	households
184	income
184	labor markets
184	marriage
184	population migration
185	computer programs
185	government
185	government performance
185	instructional materials
185	national elections
185	political attitudes
185	political behavior
185	political participation
185	presidential elections
185	voter attitudes
185	voters
185	voting behavior
188	citizen attitudes
188	political leaders
188	state legislatures
188	state politics
189	health services utilization
189	mental disorders
189	mental health
189	mental health services
189	psychiatric services
190	African Americans
190	crosscultural differences
190	health services utilization
190	mental disorders
190	mental health
190	mental health services
190	minorities
190	psychiatric services
191	Asian Americans
191	crosscultural differences
191	health services utilization
191	Hispanic or Latino Americans
191	mental disorders
191	mental health
191	mental health services
191	minorities
191	psychiatric services
192	counterterrorism
192	disaster relief
192	emergency preparedness
192	national security
192	terrorism
192	terrorist attacks
192	terrorist detention
192	terrorist kidnappings
192	terrorist profiles
192	terrorist prosecution
192	terrorist threat
192	terrorists
193	information management
193	digital preservation
195	immigration
195	immigration policy
195	immigration status
195	immigrants
196	gays and lesbians
196	health
196	health care access
197	census data
197	cities
197	counties
197	demographic characteristics
197	economic conditions
197	education expenditures
197	employment
197	government expenditures
197	household composition
197	human services
197	industrial production
197	labor force
197	municipal services
197	population characteristics
197	states (USA)
197	voting behavior
198	census data
198	cities
198	counties
198	demographic characteristics
198	economic conditions
198	education expenditures
198	employment
198	government expenditures
198	household composition
198	housing
198	human services
198	industrial production
198	labor force
198	municipal services
198	population characteristics
198	states (USA)
198	voting behavior
199	birth rates
199	business
199	demographic characteristics
199	education
199	employment
199	housing
199	income
199	industry
199	labor force
199	mortality rates
199	population characteristics
200	health care
200	health care costs
200	health care delivery
200	health care services
200	health insurance
200	health services utilization
200	insurance coverage
200	service providers
201	African Americans
201	depression (psychology)
201	instructional materials
201	mental disorders
201	mental health
201	minorities
201	race
201	social sciences
202	gender
202	instructional materials
202	labor force
202	occupations
202	sex discrimination
202	social sciences
202	working women
203	cultural attitudes
203	gender
203	gender roles
203	instructional material
203	social sciences
204	health behavior
204	health care access
204	health problems
204	health services utilization
204	health status
204	instructional materials
204	social classes
204	social sciences
205	age groups
205	aging
205	community participation
205	instructional materials
205	older adults
205	social integration
205	social sciences
206	adult children
206	age groups
206	aging
206	caregiver burden
206	caregivers
206	instructional materials
206	older adults
206	social sciences
207	instructional materials
207	public opinion
207	social sciences
207	statistical data
208	computer programs
208	computer simulation
208	instructional materials
208	statistical data
208	statistics
300	instructional materials
300	social sciences
301	instructional materials
301	political issues
301	political partisanship
301	social sciences
302	age
302	demographic characteristics
302	education
302	income
302	race
302	voter turnout
302	voters
302	voting behavior
303	child care
303	domestic responsibilities
303	family work relationship
303	gender roles
303	instructional materials
303	social sciences
303	working women
305	attitudes
305	instructional materials
305	political issues
305	politics
305	social sciences
306	addiction
306	health status
306	homelessness
306	instructional materials
306	mental health
306	social sciences
307	gender
307	instructional materials
307	party identification
308	constituencies
308	constituent relations
308	instructional materials
308	legislative districts
308	political expectations
308	political influence
308	political representation
308	social sciences
308	state legislators
309	fear of crime
309	gun control
309	gun ownership
309	gun use
309	instructional materials
309	social sciences
309	victimization
310	gambling
310	instructional materials
310	mental health
310	social sciences
311	adolescents
311	instructional materials
311	religious affiliation
311	religious behavior
311	religious beliefs
311	social sciences
312	instructional materials
312	social sciences
313	cultural identity
313	Hispanic or Latino Americans
313	Hispanic or Latino origins
313	instructional materials
313	political partisanship
313	social sciences
313	voting behavior
314	fundraising
314	instructional materials
314	job performance
314	political campaigns
314	political parties
314	reelection
314	social sciences
314	state legislators
315	altruism
315	instructional materials
315	social sciences
316	instructional materials
316	political interest
316	political participation
316	social capital
316	social sciences
317	instructional materials
317	social sciences
318	instructional materials
318	social sciences
319	instructional materials
319	social sciences
320	civil rights
320	gay rights movement
320	gays and lesbians
320	homosexual relationships
320	instructional materials
320	same-sex marriage
320	social attitudes
320	social sciences
321	academic achievement
321	demographic characteristics
321	educational opportunities
321	instructional materials
321	social inequality
321	social sciences
322	adolescents
322	alcohol consumption
322	drinking behavior
322	drug use
322	instructional materials
322	marijuana
322	social sciences
322	substance abuse
323	instructional materials
323	social attitudes
323	social classes
323	social inequality
323	social sciences
324	instructional materials
324	political attitudes
324	political parties
324	political partisanship
324	social sciences
324	voter turnout
324	voting behavior
325	campaign contributions
325	citizen participation
325	demographic characteristics
325	instructional materials
325	social protest
325	social sciences
325	volunteers
325	voting behavior
326	instructional materials
326	political partisanship
326	social sciences
326	voter preferences
326	voting behavior
327	foreign policy
327	instructional materials
327	public approval
327	public opinion
327	social sciences
329	African Americans
329	instructional materials
329	racial attitudes
329	racial discrimination
329	social inequality
329	social sciences
329	White Americans
331	Christianity
331	democracy
331	instructional materials
331	Islam
331	political systems
331	religion
331	social sciences
332	demographic characteristics
332	identity
332	instructional materials
332	social science
332	voter preferences
332	voting behavior
332	women
333	acculturation
333	cultural values
333	ethnic identity
333	ethnicity
333	immigrants
333	instructional materials
333	social sciences
334	elections
334	instructional materials
334	political participation
334	public officials
334	social sciences
334	voter attitudes
334	voter expectations
334	voting behavior
335	counterterrorism
335	instructional materials
335	September 11 attack
335	social sciences
335	terrorism
335	terrorist attacks
335	terrorist threat
338	education
338	educational opportunities
338	gender
338	instructional materials
338	science
338	social sciences
338	technology
339	instructional materials
339	social capital
339	social integration
339	social networks
339	social sciences
340	authority
340	gender
340	instructional materials
340	intimate partners
340	power
340	social sciences
341	adolescents
341	instructional materials
341	sexual attitudes
341	sexual awareness
341	social sciences
342	cultural pluralism
342	instructional materials
342	social integration
342	social sciences
343	control
343	instructional materials
343	social sciences
344	ethics
344	instructional materials
344	media influence
344	political partisanship
344	politics
